PTY_CD,PTY_AFFILIATION,PARTY_NAME,DETAILS
3,ACE,Ace Party,
3,AKI,Alaskan Independence Party,
3,AIC,American Independent Conservative,
3,AIP,American Independent Party,
3,AMP,American Party,
3,APF,American People's Freedom Party,
3,AE,Americans Elect,
3,CIT,Citizens' Party,
3,CMD,Commandments Party,
3,CMP,Commonwealth Party of the U.S.,
3,COM,Communist Party,
3,CNC,Concerned Citizens Party Of Connecticut,
3,CRV,Conservative Party,
3,CON,Constitution Party,
3,CST,Constitutional,
3,COU,Country,
3,DCG,D.C. Statehood Green Party,
3,DNL,Democratic -Nonpartisan League,
1,DEM,Democratic Party,
3,D/C,Democratic/Conservative,
3,DFL,Democratic-Farmer-Labor,
3,DGR,Desert Green Party,
3,FED,Federalist,
3,FLP,Freedom Labor Party,
3,FRE,Freedom Party,
3,GWP,George Wallace Party,
3,GRT,Grassroots,
3,GRE,Green Party,
3,GR,Green-Rainbow,
3,HRP,Human Rights Party,
3,IDP,Independence Party,
3,IND,Independent,
3,IAP,Independent American Party,
3,ICD,Independent Conservative Democratic,
3,IGR,Independent Green,
3,IP,Independent Party,
3,IDE,Independent Party of Delaware,
3,IGD,Industrial Government Party,
3,JCN,Jewish/Christian National,
3,JUS,Justice Party,
3,LRU,La Raza Unida,Also see RUP
3,LBR,Labor Party,Also see LAB
3,LFT,Less Federal Taxes,
3,LBL,Liberal Party,
3,LIB,Libertarian Party,
3,LBU,Liberty Union Party,
3,MTP,Mountain Party,
3,NDP,National Democratic Party,
3,NLP,Natural Law Party,
3,NA,New Alliance,
3,NJC,New Jersey Conservative Party,
3,NPP,New Progressive Party,
3,NPA,No Party Affiliation,
3,NOP,No Party Preference,Commonly used in CA & WA
3,NNE,None,
3,N,Nonpartisan,
3,NON,Non-Party,
3,OE,One Earth Party,
3,OTH,Other,
3,PG,Pacific Green,
3,PSL,Party for Socialism and Liberation,
3,PAF,Peace And Freedom,Also see PFP
3,PFP,Peace And Freedom Party,Also see PAF
3,PFD,Peace Freedom Party,
3,POP,People Over Politics,
3,PPY,People's Party,
3,PCH,Personal Choice Party,
3,PPD,Popular Democratic Party,
3,PRO,Progressive Party,
3,NAP,Prohibition Party,
3,PRI,Puerto Rican Independence Party,
3,RUP,Raza Unida Party,Also see LRU
3,REF,Reform Party,
2,REP,Republican Party,
3,RES,Resource Party,
3,RTL,Right To Life,
3,SEP,Socialist Equality Party,
3,SLP,Socialist Labor Party,
3,SUS,Socialist Party,
3,SOC,Socialist Party U.S.A.,
3,SWP,Socialist Workers Party,
3,TX,Taxpayers,
3,TWR,Taxpayers Without Representation,
3,TEA,Tea Party,
3,THD,Theo-Democratic,
3,LAB,U.S. Labor Party,Also see LBR
3,USP,U.S. People's Party,
3,UST,U.S. Taxpayers Party,
3,UN,Unaffiliated,
3,UC,United Citizen,
3,UNI,United Party,
3,UNK,Unknown,
3,VET,Veterans Party,
3,WTP,We the People,
3,W,Write-In,
